x,y
-0.0724,-7.5228
-0.0660,-7.4799
-0.0600,-7.4370
-0.0542,-7.3941
-0.0486,-7.3512
-0.0434,-7.3083
-0.0384,-7.2655
-0.0336,-7.2226
-0.0291,-7.1798
-0.0249,-7.1370
-0.0209,-7.0943
-0.0172,-7.0516
-0.0138,-7.0091
-0.0106,-6.9666
-0.0076,-6.9242
-0.0049,-6.8819
-0.0024,-6.8398
-0.0002,-6.7977
0.0018,-6.7558
0.0036,-6.7141
0.0051,-6.6724
0.0064,-6.6309
0.0074,-6.5895
0.0083,-6.5483
0.0090,-6.5071
0.0094,-6.4660
0.0096,-6.4251
0.0097,-6.3843
0.0095,-6.3435
0.0092,-6.3029
0.0087,-6.2623
0.0080,-6.2219
0.0072,-6.1815
0.0061,-6.1413
0.0050,-6.1011
0.0036,-6.0610
0.0021,-6.0209
0.0005,-5.9810
-0.0013,-5.9411
-0.0032,-5.9012
-0.0052,-5.8615
-0.0074,-5.8218
-0.0097,-5.7822
-0.0121,-5.7426
-0.0146,-5.7030
-0.0172,-5.6636
-0.0200,-5.6241
-0.0228,-5.5847
-0.0257,-5.5454
-0.0287,-5.5061
-0.0318,-5.4668
-0.0349,-5.4275
-0.0382,-5.3883
-0.0415,-5.3491
-0.0448,-5.3099
-0.0483,-5.2707
-0.0517,-5.2316
-0.0552,-5.1925
-0.0588,-5.1533
-0.0624,-5.1142
-0.0660,-5.0751
-0.0697,-5.0360
-0.0734,-4.9968
-0.0771,-4.9577
-0.0808,-4.9186
-0.0845,-4.8794
-0.0882,-4.8402
-0.0919,-4.8010
-0.0956,-4.7618
-0.0993,-4.7226
-0.1030,-4.6833
-0.1067,-4.6440
-0.1103,-4.6047
-0.1139,-4.5653
-0.1175,-4.5259
-0.1210,-4.4864
-0.1244,-4.4469
-0.1279,-4.4074
-0.1312,-4.3678
-0.1345,-4.3281
-0.1378,-4.2884
-0.1409,-4.2486
-0.1440,-4.2088
-0.1470,-4.1688
-0.1500,-4.1288
-0.1528,-4.0888
-0.1555,-4.0486
-0.1582,-4.0084
-0.1607,-3.9681
-0.1631,-3.9277
-0.1654,-3.8872
-0.1676,-3.8466
-0.1696,-3.8059
-0.1715,-3.7652
-0.1733,-3.7243
-0.1750,-3.6833
-0.1765,-3.6422
-0.1778,-3.6010
-0.1790,-3.5596
-0.1800,-3.5182
-0.1809,-3.4766
-0.1816,-3.4349
-0.1821,-3.3931
-0.1825,-3.3512
-0.1826,-3.3091
-0.1826,-3.2669
-0.1824,-3.2245
-0.1819,-3.1820
-0.1813,-3.1394
-0.1805,-3.0966
-0.1794,-3.0536
-0.1781,-3.0105
-0.1766,-2.9672
-0.1749,-2.9238
-0.1729,-2.8802
-0.1707,-2.8365
-0.1684,-2.7926
-0.1658,-2.7485
-0.1630,-2.7044
-0.1600,-2.6600
-0.1569,-2.6156
-0.1536,-2.5710
-0.1501,-2.5264
-0.1465,-2.4816
-0.1428,-2.4366
-0.1389,-2.3916
-0.1349,-2.3465
-0.1307,-2.3013
-0.1265,-2.2560
-0.1222,-2.2106
-0.1177,-2.1652
-0.1132,-2.1196
-0.1086,-2.0740
-0.1040,-2.0283
-0.0992,-1.9826
-0.0945,-1.9368
-0.0897,-1.8910
-0.0848,-1.8451
-0.0800,-1.7992
-0.0751,-1.7532
-0.0702,-1.7072
-0.0653,-1.6612
-0.0604,-1.6151
-0.0555,-1.5691
-0.0506,-1.5230
-0.0458,-1.4769
-0.0410,-1.4309
-0.0363,-1.3848
-0.0316,-1.3387
-0.0270,-1.2927
-0.0225,-1.2466
-0.0180,-1.2006
-0.0137,-1.1547
-0.0094,-1.1087
-0.0053,-1.0628
-0.0012,-1.0169
0.0027,-0.9711
0.0065,-0.9254
0.0101,-0.8797
0.0136,-0.8340
0.0170,-0.7884
0.0201,-0.7429
0.0232,-0.6975
0.0260,-0.6522
0.0286,-0.6069
0.0310,-0.5618
0.0333,-0.5167
0.0353,-0.4718
0.0371,-0.4269
0.0386,-0.3822
0.0399,-0.3375
0.0410,-0.2930
0.0418,-0.2487
0.0424,-0.2044
0.0426,-0.1603
0.0426,-0.1164
0.0423,-0.0726
0.0418,-0.0289
0.0409,0.0146
0.0396,0.0580
0.0381,0.1011
0.0362,0.1441
0.0340,0.1870
0.0315,0.2296
0.0286,0.2721
0.0253,0.3143
0.0216,0.3564
0.0176,0.3983
0.0132,0.4399
0.0084,0.4814
0.0032,0.5226
-0.0025,0.5637
-0.0085,0.6044
-0.0150,0.6450
-0.0219,0.6853
-0.0293,0.7254
-0.0371,0.7652
-0.0454,0.8048
-0.0542,0.8442
-0.0634,0.8832
-0.0732,0.9220
-0.0834,0.9606
-0.0941,0.9988
-0.1054,1.0368
-0.1172,1.0745
-0.1295,1.1119
-0.1423,1.1490
-0.1556,1.1859
-0.1693,1.2225
-0.1836,1.2588
-0.1983,1.2948
-0.2135,1.3306
-0.2291,1.3662
-0.2451,1.4015
-0.2615,1.4366
-0.2784,1.4714
-0.2956,1.5060
-0.3132,1.5404
-0.3312,1.5745
-0.3496,1.6085
-0.3683,1.6422
-0.3873,1.6757
-0.4066,1.7091
-0.4263,1.7422
-0.4462,1.7751
-0.4665,1.8079
-0.4870,1.8405
-0.5078,1.8729
-0.5288,1.9051
-0.5501,1.9372
-0.5716,1.9691
-0.5933,2.0008
-0.6152,2.0324
-0.6373,2.0639
-0.6596,2.0952
-0.6821,2.1263
-0.7047,2.1574
-0.7274,2.1883
-0.7504,2.2191
-0.7734,2.2498
-0.7965,2.2804
-0.8198,2.3108
-0.8431,2.3412
-0.8665,2.3715
